"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000000693","ENSMUSG00000000693","ensembl_havana","10","Loxl3","protein_coding",NA
"ENSMUSG00000000701","ENSMUSG00000000701","ensembl","7","Tcl1b5","protein_coding",NA
"ENSMUSG00000000706","ENSMUSG00000000706","ensembl_havana","15","Btn1a1","protein_coding",NA
"ENSMUSG00000000708","ENSMUSG00000000708","ensembl_havana","14","Kat2b","protein_coding",NA
"ENSMUSG00000000711","ENSMUSG00000000711","ensembl","2","Rab5b","protein_coding",NA
"ENSMUSG00000000724","ENSMUSG00000000724","ensembl_havana","10","Cryba1","protein_coding",NA
"ENSMUSG00000000730","ENSMUSG00000000730","ensembl_havana","13","Dnmt3l","protein_coding",NA
"ENSMUSG00000000731","ENSMUSG00000000731","ensembl_havana","15","Aire","protein_coding",NA
"ENSMUSG00000000732","ENSMUSG00000000732","ensembl","8","Icosl","protein_coding",NA
"ENSMUSG00000000738","ENSMUSG00000000738","ensembl_havana","17","Spg7","protein_coding",NA
"ENSMUSG00000000739","ENSMUSG00000000739","ensembl_havana","13","Sult5a1","protein_coding",NA
"ENSMUSG00000000740","ENSMUSG00000000740","ensembl_havana","11","Rpl13","protein_coding",NA
"ENSMUSG00000000743","ENSMUSG00000000743","ensembl_havana","8","Chmp1a","protein_coding",NA
"ENSMUSG00000000751","ENSMUSG00000000751","ensembl_havana","13","Rpa1","protein_coding",NA
"ENSMUSG00000000753","ENSMUSG00000000753","ensembl_havana","15","Serpinf1","protein_coding",NA
"ENSMUSG00000000759","ENSMUSG00000000759","ensembl_havana","14","Tubgcp3","protein_coding",NA
"ENSMUSG00000000766","ENSMUSG00000000766","ensembl_havana","18","Oprm1","protein_coding",NA
"ENSMUSG00000000776","ENSMUSG00000000776","ensembl","12","Polr3d","protein_coding",NA
"ENSMUSG00000000782","ENSMUSG00000000782","ensembl_havana","15","Tcf7","protein_coding",NA
"ENSMUSG00000000787","ENSMUSG00000000787","ensembl_havana","12","Ddx3x","protein_coding",NA
"ENSMUSG00000000791","ENSMUSG00000000791","ensembl","8","Il12rb1","protein_coding",NA
"ENSMUSG00000000792","ENSMUSG00000000792","ensembl_havana","2","Slc5a5","protein_coding",NA
"ENSMUSG00000000794","ENSMUSG00000000794","ensembl_havana","9","Kcnn3","protein_coding",NA
"ENSMUSG00000000804","ENSMUSG00000000804","ensembl_havana","14","Usp32","protein_coding",NA
"ENSMUSG00000000805","ENSMUSG00000000805","ensembl_havana","18","Car4","protein_coding",NA
"ENSMUSG00000000811","ENSMUSG00000000811","ensembl_havana","13","Txnrd3","protein_coding",NA
"ENSMUSG00000000817","ENSMUSG00000000817","ensembl_havana","10","Fasl","protein_coding",NA
"ENSMUSG00000000823","ENSMUSG00000000823","ensembl_havana","16","Zfp512b","protein_coding",NA
"ENSMUSG00000000826","ENSMUSG00000000826","ensembl_havana","16","Dnajc5","protein_coding",NA
"ENSMUSG00000000827","ENSMUSG00000000827","ensembl_havana","18","Tpd52l2","protein_coding",NA
"ENSMUSG00000000838","ENSMUSG00000000838","ensembl_havana","17","Fmr1","protein_coding",NA
"ENSMUSG00000000861","ENSMUSG00000000861","ensembl_havana","15","Bcl11a","protein_coding",NA
"ENSMUSG00000000869","ENSMUSG00000000869","ensembl_havana","12","Il4","protein_coding",NA
"ENSMUSG00000000876","ENSMUSG00000000876","ensembl_havana","11","Pxmp4","protein_coding",NA
"ENSMUSG00000000881","ENSMUSG00000000881","ensembl_havana","12","Dlg3","protein_coding",NA
"ENSMUSG00000000884","ENSMUSG00000000884","ensembl_havana","16","Gnb1l","protein_coding",NA
"ENSMUSG00000000889","ENSMUSG00000000889","ensembl_havana","8","Dbh","protein_coding",NA
"ENSMUSG00000000901","ENSMUSG00000000901","ensembl_havana","15","Mmp11","protein_coding",NA
